Day,Venue,Result,Poss,Captain
Sat,Home,D,67,Sergio Busquets
Sun,Away,W,58,Marc-André ter Stegen
Sun,Home,W,67,Sergio Busquets
Sat,Away,W,54,Sergio Busquets
Sat,Away,W,70,Sergio Busquets
Sat,Home,W,76,Marc-André ter Stegen
Sat,Away,W,71,Sergio Busquets
Sun,Home,W,57,Sergio Busquets
Sun,Away,L,56,Sergio Busquets
Thu,Home,W,69,Sergi Roberto
Sun,Home,W,65,Sergio Busquets
Sat,Away,W,67,Sergio Busquets
Sat,Home,W,70,Gerard Piqué
Tue,Away,W,53,Sergio Busquets
Sat,Home,D,77,Sergi Roberto
Sun,Away,W,58,Sergio Busquets
Sun,Home,W,67,Sergio Busquets
Sat,Away,W,59,Sergio Busquets
Wed,Away,W,63,Sergio Busquets
Sun,Home,W,65,Sergio Busquets
Sun,Away,W,46,Marc-André ter Stegen
Sun,Home,W,64,Sergi Roberto
Sun,Away,L,72,Sergio Busquets
Sun,Home,W,53,Sergio Busquets
Sun,Away,W,62,Sergio Busquets
Sun,Home,W,54,Sergio Busquets
Sat,Away,W,59,Sergi Roberto
Mon,Home,D,59,Sergio Busquets
Sun,Away,D,65,Sergio Busquets
Sun,Home,W,62,Sergio Busquets
Wed,Away,L,60,Marc-André ter Stegen
Sat,Home,W,67,Sergio Busquets
Tue,Home,W,76,Sergio Busquets
Sun,Away,W,69,Sergio Busquets
Sat,Home,L,67,Sergio Busquets
Tue,Away,L,69,Sergi Roberto
Sun,Home,W,78,Sergio Busquets
Sun,Away,L,71,Sergi Roberto
